State,Load Port,Country,Mode,Species,End Use, Quantity,Month,Year,Fin Year
NSW,Sydney,Philippines,Air,Cattle,Breeder,240,Jan,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"13,475",Jan,2025,2024-25
NT,Darwin,Philippines,Sea,Cattle,Feeder,"3,380",Jan,2025,2024-25
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"1,937",Jan,2025,2024-25
VIC,Portland,China,Sea,Cattle,Breeder,"4,025",Jan,2025,2024-25
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,"3,251",Jan,2025,2024-25
WA,Fremantle,Israel,Sea,Cattle,Feeder,"2,538",Jan,2025,2024-25
WA,Fremantle,Kuwait,Sea,Cattle,Slaughter,55,Jan,2025,2024-25
WA,Fremantle,United Arab Emirates,Sea,Cattle,Slaughter,291,Jan,2025,2024-25
WA,Fremantle,Vietnam,Sea,Cattle,Feeder,"3,591",Jan,2025,2024-25
WA,Fremantle,Vietnam,Sea,Cattle,Slaughter,"8,347",Jan,2025,2024-25
NT,Darwin,Brunei Darussalam,Sea,Cattle,Slaughter,940,Feb,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"27,065",Feb,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Productive,184,Feb,2025,2024-25
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"8,605",Feb,2025,2024-25
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"2,074",Feb,2025,2024-25
VIC,Portland,Indonesia,Sea,Cattle,Breeder,"1,250",Feb,2025,2024-25
VIC,Portland,Kuwait,Sea,Cattle,Breeder,"1,898",Feb,2025,2024-25
VIC,Portland,Mexico,Sea,Cattle,Breeder,"3,019",Feb,2025,2024-25
VIC,Portland,Pakistan,Sea,Cattle,Breeder,"1,598",Feb,2025,2024-25
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,"7,172",Feb,2025,2024-25
WA,Fremantle,Jordan,Sea,Cattle,Slaughter,"1,750",Feb,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"22,389",Mar,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Productive,55,Mar,2025,2024-25
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"2,499",Mar,2025,2024-25
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"2,283",Mar,2025,2024-25
VIC,Portland,China,Sea,Cattle,Breeder,"4,534",Mar,2025,2024-25
WA,Fremantle,China,Sea,Cattle,Breeder,"2,364",Mar,2025,2024-25
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,"2,465",Mar,2025,2024-25
WA,Wyndham,Indonesia,Sea,Cattle,Feeder,"3,818",Mar,2025,2024-25
NSW,Sydney,Malaysia,Air,Cattle,Breeder,126,Apr,2025,2024-25
VIC,Melbourne,Bangladesh,Air,Cattle,Breeder,206,Apr,2025,2024-25
VIC,Melbourne,Taiwan,Air,Cattle,Breeder,5,Apr,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"44,702",Apr,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Productive,780,Apr,2025,2024-25
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"14,836",Apr,2025,2024-25
QLD,Townsville,Indonesia,Sea,Cattle,Productive,70,Apr,2025,2024-25
VIC,Portland,China,Sea,Cattle,Breeder,"4,834",Apr,2025,2024-25
VIC,Portland,Mexico,Sea,Cattle,Breeder,"4,995",Apr,2025,2024-25
WA,Fremantle,China,Sea,Cattle,Breeder,"1,815",Apr,2025,2024-25
WA,Broome,Indonesia,Sea,Cattle,Feeder,"5,090",Apr,2025,2024-25
WA,Broome,Indonesia,Sea,Cattle,Productive,187,Apr,2025,2024-25
WA,Fremantle,Israel,Sea,Cattle,Feeder,"3,681",Apr,2025,2024-25
WA,Fremantle,Kuwait,Sea,Cattle,Slaughter,228,Apr,2025,2024-25
WA,Fremantle,United Arab Emirates,Sea,Cattle,Slaughter,225,Apr,2025,2024-25
NSW,Sydney,Malaysia,Air,Cattle,Breeder,107,May,2025,2024-25
SA,Adelaide,Indonesia,Air,Cattle,Breeder,54,May,2025,2024-25
NT,Darwin,Brunei Darussalam,Sea,Cattle,Slaughter,997,May,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"34,012",May,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Productive,777,May,2025,2024-25
NT,Darwin,Philippines,Sea,Cattle,Feeder,"3,461",May,2025,2024-25
NT,Darwin,Sarawak,Sea,Cattle,Breeder,75,May,2025,2024-25
NT,Darwin,Sarawak,Sea,Cattle,Slaughter,"1,082",May,2025,2024-25
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"4,554",May,2025,2024-25
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"3,470",May,2025,2024-25
VIC,Portland,Indonesia,Sea,Cattle,Breeder,"1,138",May,2025,2024-25
VIC,Portland,Malaysia,Sea,Cattle,Breeder,"1,320",May,2025,2024-25
VIC,Portland,Mexico,Sea,Cattle,Breeder,"4,757",May,2025,2024-25
WA,Broome,Indonesia,Sea,Cattle,Feeder,"12,658",May,2025,2024-25
WA,Wyndham,Indonesia,Sea,Cattle,Feeder,"7,017",May,2025,2024-25
WA,Fremantle,Jordan,Sea,Cattle,Slaughter,"4,655",May,2025,2024-25
WA,Broome,Philippines,Sea,Cattle,Feeder,"3,009",May,2025,2024-25
WA,Broome,Vietnam,Sea,Cattle,Slaughter,"1,560",May,2025,2024-25
WA,Fremantle,Vietnam,Sea,Cattle,Slaughter,"2,634",May,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"35,102",Jun,2025,2024-25
NT,Darwin,Indonesia,Sea,Cattle,Productive,"1,506",Jun,2025,2024-25
NT,Darwin,Malaysia,Sea,Cattle,Breeder,802,Jun,2025,2024-25
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"2,648",Jun,2025,2024-25
QLD,Brisbane,Philippines,Sea,Cattle,Breeder,"1,501",Jun,2025,2024-25
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"2,479",Jun,2025,2024-25
VIC,Portland,China,Sea,Cattle,Breeder,"3,709",Jun,2025,2024-25
VIC,Portland,Indonesia,Sea,Cattle,Breeder,"1,591",Jun,2025,2024-25
WA,Broome,Indonesia,Sea,Cattle,Feeder,"5,340",Jun,2025,2024-25
WA,Broome,Indonesia,Sea,Cattle,Productive,200,Jun,2025,2024-25
WA,Broome,Philippines,Sea,Cattle,Feeder,"3,135",Jun,2025,2024-25
WA,Fremantle,Vietnam,Sea,Cattle,Feeder,"1,378",Jun,2025,2024-25
WA,Broome,Vietnam,Sea,Cattle,Slaughter,"9,836",Jun,2025,2024-25
VIC,Melbourne,China,Air,Cattle,Breeder,241,Jul,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"31,056",Jul,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,"1,599",Jul,2025,2025-26
NT,Darwin,Vietnam,Sea,Cattle,Breeder,"2,425",Jul,2025,2025-26
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"5,598",Jul,2025,2025-26
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"5,823",Jul,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Feeder,"8,206",Jul,2025,2025-26
WA,Wyndham,Indonesia,Sea,Cattle,Feeder,"3,261",Jul,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Productive,709,Jul,2025,2025-26
WA,Broome,Philippines,Sea,Cattle,Feeder,"3,053",Jul,2025,2025-26
WA,Broome,Vietnam,Sea,Cattle,Feeder,"2,661",Jul,2025,2025-26
NSW,Sydney,Malaysia,Air,Cattle,Breeder,135,Aug,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"39,018",Aug,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,"3,821",Aug,2025,2025-26
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"2,380",Aug,2025,2025-26
QLD,Townsville,Vietnam,Sea,Cattle,Slaughter,"3,802",Aug,2025,2025-26
VIC,Portland,China,Sea,Cattle,Breeder,"3,763",Aug,2025,2025-26
VIC,Portland,Mexico,Sea,Cattle,Breeder,"2,960",Aug,2025,2025-26
VIC,Portland,Turkey,Sea,Cattle,Breeder,"4,522",Aug,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Feeder,"10,355",Aug,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Productive,119,Aug,2025,2025-26
WA,Fremantle,Jordan,Sea,Cattle,Slaughter,"5,125",Aug,2025,2025-26
WA,Fremantle,Turkey,Sea,Cattle,Breeder,620,Aug,2025,2025-26
NSW,Sydney,Sabah,Air,Cattle,Breeder,103,Sep,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"29,412",Sep,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,620,Sep,2025,2025-26
NT,Darwin,Malaysia,Sea,Cattle,Breeder,775,Sep,2025,2025-26
NT,Darwin,Philippines,Sea,Cattle,Feeder,"3,420",Sep,2025,2025-26
NT,Darwin,Vietnam,Sea,Cattle,Slaughter,"2,921",Sep,2025,2025-26
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"12,000",Sep,2025,2025-26
QLD,Townsville,Indonesia,Sea,Cattle,Productive,90,Sep,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Breeder,563,Sep,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Feeder,"11,179",Sep,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,772,Sep,2025,2025-26
WA,Wyndham,Indonesia,Sea,Cattle,Feeder,"2,378",Sep,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Productive,665,Sep,2025,2025-26
WA,Broome,Vietnam,Sea,Cattle,Breeder,982,Sep,2025,2025-26
WA,Broome,Vietnam,Sea,Cattle,Feeder,"1,988",Sep,2025,2025-26
NSW,Sydney,Malaysia,Air,Cattle,Breeder,172,Oct,2025,2025-26
VIC,Melbourne,Indonesia,Air,Cattle,Breeder,10,Oct,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"19,749",Oct,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,31,Oct,2025,2025-26
NT,Darwin,Malaysia,Sea,Cattle,Breeder,914,Oct,2025,2025-26
NT,Darwin,Sabah,Sea,Cattle,Breeder,790,Oct,2025,2025-26
NT,Darwin,Sarawak,Sea,Cattle,Breeder,"1,116",Oct,2025,2025-26
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"3,672",Oct,2025,2025-26
VIC,Portland,China,Sea,Cattle,Breeder,"2,940",Oct,2025,2025-26
VIC,Portland,Malaysia,Sea,Cattle,Breeder,"1,350",Oct,2025,2025-26
VIC,Portland,Mexico,Sea,Cattle,Breeder,"5,096",Oct,2025,2025-26
WA,Fremantle,China,Sea,Cattle,Breeder,718,Oct,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Feeder,"3,881",Oct,2025,2025-26
WA,Wyndham,Indonesia,Sea,Cattle,Feeder,"7,437",Oct,2025,2025-26
WA,Broome,Philippines,Sea,Cattle,Feeder,"2,138",Oct,2025,2025-26
WA,Broome,Vietnam,Sea,Cattle,Slaughter,"2,855",Oct,2025,2025-26
NSW,Sydney,Malaysia,Air,Cattle,Breeder,662,Nov,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Breeder,29,Nov,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"43,609",Nov,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,81,Nov,2025,2025-26
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"9,389",Nov,2025,2025-26
WA,Broome,Indonesia,Sea,Cattle,Feeder,"3,343",Nov,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,"6,878",Nov,2025,2025-26
WA,Geraldton,Indonesia,Sea,Cattle,Feeder,"1,768",Nov,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Productive,66,Nov,2025,2025-26
WA,Fremantle,Kuwait,Sea,Cattle,Slaughter,205,Nov,2025,2025-26
WA,Fremantle,Philippines,Sea,Cattle,Feeder,"2,861",Nov,2025,2025-26
NSW,Sydney,Malaysia,Air,Cattle,Breeder,339,Dec,2025,2025-26
VIC,Melbourne,Sarawak,Air,Cattle,Breeder,193,Dec,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Feeder,"55,437",Dec,2025,2025-26
NT,Darwin,Indonesia,Sea,Cattle,Productive,397,Dec,2025,2025-26
QLD,Townsville,Indonesia,Sea,Cattle,Feeder,"10,263",Dec,2025,2025-26
VIC,Portland,China,Sea,Cattle,Breeder,"3,265",Dec,2025,2025-26
VIC,Portland,Turkey,Sea,Cattle,Breeder,"4,999",Dec,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Breeder,224,Dec,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Feeder,"4,609",Dec,2025,2025-26
WA,Geraldton,Indonesia,Sea,Cattle,Feeder,"1,883",Dec,2025,2025-26
WA,Fremantle,Indonesia,Sea,Cattle,Productive,40,Dec,2025,2025-26
WA,Fremantle,Vietnam,Sea,Cattle,Slaughter,"4,112",Dec,2025,2025-26