Financial year,Industry,State,Total cash costs,Total cash receipts
1999–00,Beef specialists,Aust.,248480,318450
2000–01,Beef specialists,Aust.,233000,363430
2001–02,Beef specialists,Aust.,319850,466030
2002–03,Beef specialists,Aust.,299240,350230
2003–04,Beef specialists,Aust.,354060,411230
2004–05,Beef specialists,Aust.,445340,566490
2005–06,Beef specialists,Aust.,396550,526930
2006–07,Beef specialists,Aust.,560070,629450
2007–08,Beef specialists,Aust.,307530,368490
2008–09,Beef specialists,Aust.,335750,407240
2009–10,Beef specialists,Aust.,311240,361590
2010–11,Beef specialists,Aust.,305890,389670
2011–12,Beef specialists,Aust.,257020,343010
2012–13,Beef specialists,Aust.,241930,309070
2013–14,Beef specialists,Aust.,262770,332940
2014–15,Beef specialists,Aust.,262630,382200
2015–16,Beef specialists,Aust.,293120,517210
2016–17,Beef specialists,Aust.,302550,477870
2017–18,Beef specialists,Aust.,312070,471890
2018–19,Beef specialists,Aust.,313010,427050
2019–20,Beef specialists,Aust.,382680,499090
2020–21,Beef specialists,Aust.,397300,646850
2021–22,Beef specialists,Aust.,384420,609680
2022–23,Beef specialists,Aust.,354800,545000