Financial year,Industry,State,Total cash costs,Total cash receipts,Closing area operated
1999–00,Beef specialists,Aust.,248480,318450,12310
2000–01,Beef specialists,Aust.,233000,363430,11960
2001–02,Beef specialists,Aust.,319850,466030,14670
2002–03,Beef specialists,Aust.,299240,350230,10640
2003–04,Beef specialists,Aust.,354060,411230,13190
2004–05,Beef specialists,Aust.,445340,566490,15500
2005–06,Beef specialists,Aust.,396550,526930,14570
2006–07,Beef specialists,Aust.,560070,629450,12820
2007–08,Beef specialists,Aust.,307530,368490,12390
2008–09,Beef specialists,Aust.,335750,407240,14140
2009–10,Beef specialists,Aust.,311240,361590,13200
2010–11,Beef specialists,Aust.,305890,389670,13740
2011–12,Beef specialists,Aust.,257020,343010,13090
2012–13,Beef specialists,Aust.,241930,309070,12540
2013–14,Beef specialists,Aust.,262770,332940,13060
2014–15,Beef specialists,Aust.,262630,382200,13750
2015–16,Beef specialists,Aust.,293120,517210,13900
2016–17,Beef specialists,Aust.,302550,477870,14040
2017–18,Beef specialists,Aust.,312070,471890,13880
2018–19,Beef specialists,Aust.,313010,427050,12900
2019–20,Beef specialists,Aust.,382680,499090,14870
2020–21,Beef specialists,Aust.,397300,646850,15090
2021–22,Beef specialists,Aust.,384420,609680,11360
2022–23,Beef specialists,Aust.,354800,545000,10980